product_id,product_name,category,brand,description,current_price,cost,stock_quantity,monthly_sales,average_rating,review_count,supplier,last_updated
PROD-095,Zinc 50mg Immune Health,Health & Wellness,ImmuneShield,"Zinc supplement 50mg for immune support. Supports immune function and skin health. Easy-to-swallow tablets. Non-GMO and gluten-free. 250-day supply.",12.99,5.75,612,234,4.5,892,HealthDist Co,2024-03-15
PROD-096,Citrus Juicer Manual,Kitchen & Dining,FreshPress,"Manual citrus juicer for lemons, limes, and oranges. Sturdy stainless steel construction. Non-slip base. Dishwasher safe. Extracts maximum juice with minimal effort. Easy to use and clean.",16.99,6.50,456,167,4.6,423,HomeGoods Inc,2024-03-18
PROD-097,Kettlebell 25 lbs,Sports & Fitness,IronFlex,"Cast iron kettlebell 25 lbs. Smooth finish with wide handle. Versatile for swings, squats, and Turkish get-ups. Durable construction. Color-coded by weight. Build strength and endurance.",49.99,23.75,198,76,4.7,567,FitGear Dist,2024-03-12
PROD-098,External Hard Drive 2TB USB 3.0,Electronics,DataVault,"External hard drive 2TB with USB 3.0. Fast data transfer speeds. Compact and portable design. Plug-and-play compatible with Windows and Mac. Includes USB cable and backup software.",79.99,39.50,223,87,4.5,1456,TechSupply Co,2024-03-16
PROD-099,B-Complex Vitamins High Potency,Health & Wellness,EnergyPlus,"B-complex vitamin supplement with all 8 B vitamins. Supports energy metabolism and nervous system. Vegan capsules. Non-GMO. 120-day supply.",18.99,8.50,534,189,4.6,1234,HealthDist Co,2024-03-14
PROD-100,Salad Spinner Large,Kitchen & Dining,FreshSpin,"Large salad spinner with 5-quart capacity. Easy pump mechanism. BPA-free plastic. Non-slip base. Locks for compact storage. Doubles as serving bowl. Dishwasher safe.",24.99,10.25,378,134,4.5,567,HomeGoods Inc,2024-03-19
PROD-101,Plyo Box 20x18x16 inches,Sports & Fitness,JumpMax,"Wooden plyo box for box jumps and step-ups. 3-in-1 design with heights 20, 18, and 16 inches. Sturdy construction supports up to 350 lbs. Non-slip surface. Great for CrossFit and functional training.",89.99,42.50,87,32,4.7,289,FitGear Dist,2024-03-11
PROD-102,Wireless Presenter Pointer,Electronics,PresentPro,"Wireless presenter with laser pointer. 2.4GHz connection up to 100 feet. Intuitive controls for PowerPoint. USB receiver stores in presenter. Includes carrying pouch. Perfect for teachers and professionals.",24.99,9.75,445,132,4.5,445,TechSupply Co,2024-03-17
PROD-103,Probiotics for Women 50 Billion CFU,Health & Wellness,FloraBalance,"Probiotics specifically formulated for women's health. 50 billion CFU with 16 strains. Supports digestive, immune, and vaginal health. Delayed-release capsules. 30-day supply.",29.99,14.25,389,145,4.7,1892,HealthDist Co,2024-03-13
PROD-104,Bread Box Bamboo,Kitchen & Dining,FreshKeep,"Bamboo bread box with roll-top lid. Keeps bread fresh longer. Natural ventilation prevents mold. Eco-friendly material. Compact design fits on countertop. Easy to clean.",34.99,14.75,267,89,4.5,334,HomeGoods Inc,2024-03-15
PROD-105,Foam Roller Vibrating,Sports & Fitness,RecoverPro,"Vibrating foam roller with 3 speed settings. High-intensity vibrations enhance muscle recovery. Rechargeable battery lasts up to 2 hours. Textured surface. Includes carry case. Great for post-workout recovery.",89.99,43.50,134,45,4.6,567,FitGear Dist,2024-03-18
